# Generated from bridge-api/execution-decisions. Do not hand-edit.
decisionRequestId,candidateId,strategyId,runtimeStrategyId,executorId,feasibilityStatus,authorizationStatus,comparableCostMicroUsd,unknownCost,selected,reasonCodes
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.DETERMINISTIC_RULES.mock.legacy_structured_response.v1.31852242,DETERMINISTIC_RULES,DETERMINISTIC_RULES,mock.legacy_structured_response.v1,UNAUTHORIZED,UNAUTHORIZED,303,true,false,CAPABILITY_NOT_SUPPORTED|COST_UNKNOWN|HOSTED_EXECUTION_NOT_AUTHORIZED
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.DETERMINISTIC_RULES.mock.legacy_structured_response.v1.618f6b92,DETERMINISTIC_RULES,DETERMINISTIC_RULES,mock.legacy_structured_response.v1,UNAUTHORIZED,UNAUTHORIZED,303,true,false,CAPABILITY_NOT_SUPPORTED|COST_UNKNOWN|HOSTED_EXECUTION_NOT_AUTHORIZED
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.DETERMINISTIC_RULES.mock.legacy_structured_response.v1.645c8319,DETERMINISTIC_RULES,DETERMINISTIC_RULES,mock.legacy_structured_response.v1,UNAUTHORIZED,UNAUTHORIZED,303,true,false,CAPABILITY_NOT_SUPPORTED|COST_UNKNOWN|HOSTED_EXECUTION_NOT_AUTHORIZED
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.DETERMINISTIC_RULES.mock.legacy_structured_response.v1.aa4b9b42,DETERMINISTIC_RULES,DETERMINISTIC_RULES,mock.legacy_structured_response.v1,UNAUTHORIZED,UNAUTHORIZED,303,true,false,CAPABILITY_NOT_SUPPORTED|COST_UNKNOWN|HOSTED_EXECUTION_NOT_AUTHORIZED
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.33ef22e1,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,382,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.381d3346,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,382,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.3e88b9d5,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,354,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.48707595,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,365,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.56128ae8,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,368,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.985a13d1,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,354,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.9d4707a6,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,354,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.a26871ce,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,353,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.a291a82d,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,353,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.aa965de5,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,353,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.aa9d9534,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,353,true,false,COST_UNKNOWN
decision.structured_response.fail_closed.offline.v1,decision.structured_response.fail_closed.offline.v1.HOSTED_BALANCED.mock.legacy_structured_response.v1.b7b5ec3f,HOSTED_BALANCED,HOSTED_BALANCED_MODEL,mock.legacy_structured_response.v1,INSUFFICIENT_EVIDENCE,AUTHORIZED,360,true,false,COST_UNKNOWN
